round,date,min_since_start,ss,direction,speed
3,9/22/2015,145,0,70,0
3,9/22/2015,145,5,70,0
3,9/22/2015,150,10,70,0
3,9/22/2015,150,15,70,0
3,9/22/2015,150,20,70,0.1
3,9/22/2015,150,25,70,0
3,9/22/2015,150,30,70,0
3,9/22/2015,150,35,70,0
3,9/22/2015,150,40,70,0.3
3,9/22/2015,150,45,70,0.2
3,9/22/2015,150,0,85,0
3,9/22/2015,155,5,85,0
3,9/22/2015,155,10,85,0.3
3,9/22/2015,155,15,85,0.3
3,9/22/2015,155,20,85,0
3,9/22/2015,155,25,85,0
3,9/22/2015,155,30,85,0
3,9/22/2015,155,35,85,0
3,9/22/2015,155,40,85,0
3,9/22/2015,155,45,85,0.8
3,9/22/2015,160,0,143,0
3,9/22/2015,160,5,143,0
3,9/22/2015,160,10,143,1.1
3,9/22/2015,160,15,143,0
3,9/22/2015,160,20,143,0
3,9/22/2015,160,25,143,0.3
3,9/22/2015,160,30,143,1.5
3,9/22/2015,160,35,143,1.3
3,9/22/2015,160,40,143,1.2
3,9/22/2015,165,45,143,1.6
2,9/17/2015,5,0,179,0
2,9/17/2015,5,5,179,0
2,9/17/2015,5,10,179,0
2,9/17/2015,5,15,179,0
2,9/17/2015,5,20,179,0
2,9/17/2015,5,25,179,0
2,9/17/2015,5,30,179,0
2,9/17/2015,5,35,179,0
2,9/17/2015,5,40,179,0
2,9/17/2015,5,45,179,0
2,9/17/2015,10,0,240,0
2,9/17/2015,10,5,240,0
2,9/17/2015,10,10,240,0
2,9/17/2015,10,15,240,0.7
2,9/17/2015,10,20,240,1.2
2,9/17/2015,10,25,240,0.4
2,9/17/2015,10,30,240,0
2,9/17/2015,10,35,240,0
2,9/17/2015,10,40,240,0
2,9/17/2015,15,45,195,0
2,9/17/2015,15,0,195,0
2,9/17/2015,15,5,195,0
2,9/17/2015,15,10,195,0
2,9/17/2015,15,15,195,0
2,9/17/2015,15,20,195,0
2,9/17/2015,15,25,195,0
2,9/17/2015,15,30,195,0
2,9/17/2015,15,35,195,0
2,9/17/2015,20,40,195,0
2,9/17/2015,20,45,239,0
2,9/17/2015,20,0,239,0.5
2,9/17/2015,20,5,239,0.3
2,9/17/2015,20,10,239,0
2,9/17/2015,20,15,239,0
2,9/17/2015,20,20,239,0
2,9/17/2015,20,25,239,0
2,9/17/2015,20,30,239,0
2,9/17/2015,25,35,239,0
2,9/17/2015,25,40,239,0
2,9/17/2015,25,45,239,0
2,9/17/2015,25,0,249,0
2,9/17/2015,25,5,249,0
2,9/17/2015,25,10,249,0
2,9/17/2015,25,15,249,0
2,9/17/2015,25,20,249,0
2,9/17/2015,25,25,249,0
2,9/17/2015,30,30,249,0
2,9/17/2015,30,35,249,0
2,9/17/2015,30,40,249,0
2,9/17/2015,30,45,249,0
2,9/17/2015,30,0,252,0.9
2,9/17/2015,30,5,252,0.4
2,9/17/2015,30,10,252,0
2,9/17/2015,30,15,252,0
2,9/17/2015,30,20,252,0
2,9/17/2015,35,25,252,0
2,9/17/2015,35,30,252,0.3
2,9/17/2015,35,35,252,0.3
2,9/17/2015,35,40,252,0
2,9/17/2015,35,45,252,0
2,9/17/2015,35,0,270,1.4
2,9/17/2015,35,5,270,1.6
2,9/17/2015,35,10,270,1.2
2,9/17/2015,35,15,270,0
2,9/17/2015,40,20,270,0
